value,probMass
2,0.0001036
3,0.0001142
4,0.0001258
5,0.0001384
6,0.0001521
7,0.0001670
8,0.0001832
9,0.0002008
10,0.0002198
11,0.0002404
12,0.0002626
13,0.0002866
14,0.0003125
15,0.0003404
16,0.0003704
17,0.0004027
18,0.0004373
19,0.0004745
20,0.0005142
21,0.0005568
22,0.0006023
23,0.0006508
24,0.0007025
25,0.0007576
26,0.0008162
27,0.0008785
28,0.0009445
29,0.0010145
30,0.0010887
31,0.0011670
32,0.0012497
33,0.0013370
34,0.0014289
35,0.0015257
36,0.0016273
37,0.0017340
38,0.0018458
39,0.0019629
40,0.0020854
41,0.0022132
42,0.0023465
43,0.0024854
44,0.0026299
45,0.0027800
46,0.0029357
47,0.0030970
48,0.0032640
49,0.0034365
50,0.0036144
51,0.0037979
52,0.0039866
53,0.0041805
54,0.0043795
55,0.0045834
56,0.0047920
57,0.0050050
58,0.0052223
59,0.0054436
60,0.0056686
61,0.0058970
62,0.0061284
63,0.0063626
64,0.0065991
65,0.0068376
66,0.0070776
67,0.0073187
68,0.0075605
69,0.0078025
70,0.0080441
71,0.0082849
72,0.0085245
73,0.0087621
74,0.0089974
75,0.0092298
76,0.0094587
77,0.0096837
78,0.0099040
79,0.0101192
80,0.0103288
81,0.0105322
82,0.0107289
83,0.0109183
84,0.0110999
85,0.0112733
86,0.0114380
87,0.0115934
88,0.0117393
89,0.0118750
90,0.0120004
91,0.0121149
92,0.0122184
93,0.0123103
94,0.0123906
95,0.0124589
96,0.0125151
97,0.0125590
98,0.0125905
99,0.0126094
100,0.0126157
101,0.0126094
102,0.0125905
103,0.0125590
104,0.0125151
105,0.0124589
106,0.0123906
107,0.0123103
108,0.0122184
109,0.0121149
110,0.0120004
111,0.0118750
112,0.0117393
113,0.0115934
114,0.0114380
115,0.0112733
116,0.0110999
117,0.0109183
118,0.0107289
119,0.0105322
120,0.0103288
121,0.0101192
122,0.0099040
123,0.0096837
124,0.0094587
125,0.0092298
126,0.0089974
127,0.0087621
128,0.0085245
129,0.0082849
130,0.0080441
131,0.0078025
132,0.0075605
133,0.0073187
134,0.0070776
135,0.0068376
136,0.0065991
137,0.0063626
138,0.0061284
139,0.0058970
140,0.0056686
141,0.0054436
142,0.0052223
143,0.0050050
144,0.0047920
145,0.0045834
146,0.0043795
147,0.0041805
148,0.0039866
149,0.0037979
150,0.0036144
151,0.0034365
152,0.0032640
153,0.0030970
154,0.0029357
155,0.0027800
156,0.0026299
157,0.0024854
158,0.0023465
159,0.0022132
160,0.0020854
161,0.0019629
162,0.0018458
163,0.0017340
164,0.0016273
165,0.0015257
166,0.0014289
167,0.0013370
168,0.0012497
169,0.0011670
170,0.0010887
171,0.0010145
172,0.0009445
173,0.0008785
174,0.0008162
175,0.0007576
176,0.0007025
177,0.0006508
178,0.0006023
179,0.0005568
180,0.0005142
181,0.0004745
182,0.0004373
183,0.0004027
184,0.0003704
185,0.0003404
186,0.0003125
187,0.0002866
188,0.0002626
189,0.0002404
190,0.0002198
191,0.0002008
192,0.0001832
193,0.0001670
194,0.0001521
195,0.0001384
196,0.0001258
197,0.0001142
198,0.0001036
199,0.0000939
